Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,150.509995,152.960007,150.250000,152.520004,133.838577,3925500
2016-04-04,152.339996,153.520004,151.910004,152.070007,133.443665,3931200
2016-04-05,151.429993,151.600006,149.649994,150.000000,131.627228,3337000
2016-04-06,149.899994,150.149994,147.809998,150.020004,131.644775,4152300
2016-04-07,149.070007,149.600006,148.000000,148.250000,130.091583,3663000
2016-04-08,149.059998,149.990005,148.119995,149.350006,131.056839,3293800
2016-04-11,150.259995,151.949997,149.220001,149.250000,130.969086,3846100
2016-04-12,149.610001,150.110001,148.580002,149.630005,131.302536,3507100
2016-04-13,150.750000,151.229996,149.630005,151.229996,132.706589,3168400
2016-04-14,151.500000,152.759995,150.380005,151.160004,132.645157,3158400
2016-04-15,151.039993,152.100006,150.960007,151.720001,133.136536,3657600
2016-04-18,151.720001,153.139999,151.490005,152.529999,133.847336,5737700
2016-04-19,146.470001,146.949997,142.610001,144.000000,126.362167,13190200
2016-04-20,144.240005,147.199997,144.000000,146.110001,128.213684,6754300
2016-04-21,146.580002,150.119995,146.460007,149.300003,131.012985,6017700
2016-04-22,149.440002,151.000000,147.500000,148.500000,130.310944,5191900
2016-04-25,148.160004,148.899994,147.110001,148.809998,130.583008,2848900
2016-04-26,148.649994,149.789993,147.899994,149.080002,130.819916,2979800
2016-04-27,149.350006,150.779999,148.970001,150.470001,132.039673,3111200
2016-04-28,149.750000,150.179993,146.729996,147.070007,129.056152,3791500
2016-04-29,146.490005,147.339996,144.190002,145.940002,128.064499,4225800
2016-05-02,146.559998,147.000000,144.429993,145.270004,127.476593,3502400
2016-05-03,144.649994,144.899994,142.899994,144.130005,126.476204,3584300
2016-05-04,143.360001,145.000000,143.309998,144.250000,126.581520,2577100
2016-05-05,145.949997,147.300003,145.449997,146.470001,128.529602,6501200
2016-05-06,144.860001,147.970001,144.470001,147.289993,130.496460,4895800
2016-05-09,147.699997,148.199997,147.009995,147.339996,131.793488,4302400
2016-05-10,148.240005,150.039993,147.740005,149.970001,134.145996,3982400
2016-05-11,149.710007,151.089996,148.740005,148.949997,133.233597,3093000
2016-05-12,149.210007,149.389999,147.110001,148.839996,133.135239,3249200
2016-05-13,148.789993,149.860001,147.419998,147.720001,132.133362,2398000
2016-05-16,147.649994,149.990005,147.440002,149.460007,133.689789,3069100
2016-05-17,149.210007,149.500000,147.289993,148.000000,132.383850,3490600
2016-05-18,147.990005,148.520004,146.360001,147.339996,131.793488,2491100
2016-05-19,146.479996,146.929993,143.960007,144.929993,129.637756,3685600
2016-05-20,145.710007,147.509995,145.550003,147.250000,131.712967,3671500
2016-05-23,147.610001,147.949997,146.660004,146.770004,131.283615,2086600
2016-05-24,146.880005,148.750000,146.880005,148.309998,132.661148,2929300
2016-05-25,148.929993,152.089996,148.500000,151.690002,135.684494,4355300
2016-05-26,151.550003,152.509995,151.050003,152.440002,136.355377,3023100
2016-05-27,152.350006,152.929993,152.149994,152.839996,136.713181,2457100
2016-05-31,152.559998,153.809998,152.270004,153.740005,137.518173,5836600
2016-06-01,153.000000,153.270004,151.539993,152.509995,136.417984,2663400
2016-06-02,152.589996,153.500000,152.119995,153.500000,137.303513,2635600
2016-06-03,152.399994,153.039993,151.699997,152.889999,136.757889,2328300
2016-06-06,153.089996,153.949997,152.339996,152.729996,136.614761,2378700
2016-06-07,153.309998,153.929993,152.660004,153.330002,137.151474,4465000
2016-06-08,153.529999,154.089996,153.039993,154.000000,137.750732,2935000
2016-06-09,152.919998,153.759995,152.729996,153.419998,137.231949,2021800
2016-06-10,152.789993,153.330002,151.860001,152.369995,136.292725,3120600
2016-06-13,151.630005,152.500000,150.279999,151.279999,135.317749,3610400
2016-06-14,151.279999,151.789993,150.399994,151.059998,135.120972,2865800
2016-06-15,151.460007,151.789993,150.600006,150.679993,134.781067,2260400
2016-06-16,150.190002,151.289993,149.000000,151.059998,135.120972,2449100
2016-06-17,150.960007,152.720001,150.600006,151.990005,135.952866,4663900
2016-06-20,152.600006,154.669998,152.520004,153.610001,137.401917,3572100
2016-06-21,154.160004,154.570007,153.690002,154.050003,137.795502,2760300
2016-06-22,153.750000,154.710007,152.270004,152.919998,136.784729,2833700
2016-06-23,153.449997,155.479996,152.600006,155.350006,138.958298,3969400
2016-06-24,149.970001,150.610001,146.179993,146.589996,131.122620,9082800
2016-06-27,146.179993,146.600006,142.500000,143.500000,128.358673,5017900
2016-06-28,144.779999,145.729996,144.220001,145.699997,130.326523,3997700
2016-06-29,146.500000,148.479996,146.449997,148.460007,132.795303,3367700
2016-06-30,148.860001,151.910004,148.669998,151.779999,135.764999,3967100
2016-07-01,151.779999,152.970001,151.399994,152.350006,136.274857,2658300
2016-07-05,151.190002,152.000000,150.759995,151.679993,135.675552,2465200
2016-07-06,151.850006,152.410004,149.919998,152.369995,136.292725,2569400
2016-07-07,152.750000,153.690002,151.889999,152.600006,136.498474,2133000
2016-07-08,154.000000,154.600006,153.080002,154.460007,138.162216,3040600
2016-07-11,154.600006,156.039993,154.500000,155.330002,138.940445,2833700
2016-07-12,156.000000,157.119995,155.520004,157.039993,140.470001,3843800
2016-07-13,157.750000,158.339996,157.059998,158.020004,141.346603,2746400
